"","year","period","value_earnings","industry_text"
"1310",2006,"03",5214,"Nondurable Goods"
"1311",2006,"04",5206,"Nondurable Goods"
"1312",2006,"05",5186,"Nondurable Goods"
"1313",2006,"06",5185,"Nondurable Goods"
"1314",2006,"07",5180,"Nondurable Goods"
"1315",2006,"08",5167,"Nondurable Goods"
"1316",2006,"09",5153,"Nondurable Goods"
"1317",2006,"10",5130,"Nondurable Goods"
"1318",2006,"11",5123,"Nondurable Goods"
"1319",2006,"12",5102,"Nondurable Goods"
"1320",2007,"01",5118,"Nondurable Goods"
"1321",2007,"02",5108,"Nondurable Goods"
"1322",2007,"03",5099,"Nondurable Goods"
"1323",2007,"04",5085,"Nondurable Goods"
"1324",2007,"05",5083,"Nondurable Goods"
"1325",2007,"06",5081,"Nondurable Goods"
"1326",2007,"07",5074,"Nondurable Goods"
"1327",2007,"08",5050,"Nondurable Goods"
"1328",2007,"09",5038,"Nondurable Goods"
"1329",2007,"10",5037,"Nondurable Goods"
"1330",2007,"11",5033,"Nondurable Goods"
"1331",2007,"12",5039,"Nondurable Goods"
"1332",2008,"01",5032,"Nondurable Goods"
"1333",2008,"02",5023,"Nondurable Goods"
"1334",2008,"03",5013,"Nondurable Goods"
"1335",2008,"04",5002,"Nondurable Goods"
"1336",2008,"05",4985,"Nondurable Goods"
"1337",2008,"06",4962,"Nondurable Goods"
"1338",2008,"07",4942,"Nondurable Goods"
"1339",2008,"08",4928,"Nondurable Goods"
"1340",2008,"09",4903,"Nondurable Goods"
"1341",2008,"10",4872,"Nondurable Goods"
"1342",2008,"11",4841,"Nondurable Goods"
"1343",2008,"12",4785,"Nondurable Goods"
"1344",2009,"01",4729,"Nondurable Goods"
"1345",2009,"02",4681,"Nondurable Goods"
"1346",2009,"03",4631,"Nondurable Goods"
"1347",2009,"04",4602,"Nondurable Goods"
"1348",2009,"05",4573,"Nondurable Goods"
"1349",2009,"06",4544,"Nondurable Goods"
"1350",2009,"07",4522,"Nondurable Goods"
"1351",2009,"08",4513,"Nondurable Goods"
"1352",2009,"09",4507,"Nondurable Goods"
"1353",2009,"10",4494,"Nondurable Goods"
"1354",2009,"11",4489,"Nondurable Goods"
"1355",2009,"12",4476,"Nondurable Goods"
"1356",2010,"01",4471,"Nondurable Goods"
"1357",2010,"02",4468,"Nondurable Goods"
"1358",2010,"03",4457,"Nondurable Goods"
"1359",2010,"04",4463,"Nondurable Goods"
"1360",2010,"05",4472,"Nondurable Goods"
"1361",2010,"06",4473,"Nondurable Goods"
"1362",2010,"07",4478,"Nondurable Goods"
"1363",2010,"08",4463,"Nondurable Goods"
"1364",2010,"09",4458,"Nondurable Goods"
"1365",2010,"10",4453,"Nondurable Goods"
"1366",2010,"11",4460,"Nondurable Goods"
"1367",2010,"12",4458,"Nondurable Goods"
"1368",2011,"01",4453,"Nondurable Goods"
"1369",2011,"02",4459,"Nondurable Goods"
"1370",2011,"03",4461,"Nondurable Goods"
"1371",2011,"04",4464,"Nondurable Goods"
"1372",2011,"05",4456,"Nondurable Goods"
"1373",2011,"06",4452,"Nondurable Goods"
"1374",2011,"07",4457,"Nondurable Goods"
"1375",2011,"08",4461,"Nondurable Goods"
"1376",2011,"09",4456,"Nondurable Goods"
"1377",2011,"10",4450,"Nondurable Goods"
"1378",2011,"11",4439,"Nondurable Goods"
"1379",2011,"12",4434,"Nondurable Goods"
"1380",2012,"01",4440,"Nondurable Goods"
"1381",2012,"02",4440,"Nondurable Goods"
"1382",2012,"03",4452,"Nondurable Goods"
"1383",2012,"04",4455,"Nondurable Goods"
"1384",2012,"05",4456,"Nondurable Goods"
"1385",2012,"06",4456,"Nondurable Goods"
"1386",2012,"07",4461,"Nondurable Goods"
"1387",2012,"08",4468,"Nondurable Goods"
"1388",2012,"09",4471,"Nondurable Goods"
"1389",2012,"10",4476,"Nondurable Goods"
"1390",2012,"11",4462,"Nondurable Goods"
"1391",2012,"12",4455,"Nondurable Goods"
"1392",2013,"01",4468,"Nondurable Goods"
"1393",2013,"02",4473,"Nondurable Goods"
"1394",2013,"03",4468,"Nondurable Goods"
"1395",2013,"04",4466,"Nondurable Goods"
"1396",2013,"05",4467,"Nondurable Goods"
"1397",2013,"06",4465,"Nondurable Goods"
"1398",2013,"07",4467,"Nondurable Goods"
"1399",2013,"08",4467,"Nondurable Goods"
"1400",2013,"09",4468,"Nondurable Goods"
"1401",2013,"10",4480,"Nondurable Goods"
"1402",2013,"11",4490,"Nondurable Goods"
"1403",2013,"12",4492,"Nondurable Goods"
"1404",2014,"01",4498,"Nondurable Goods"
"1405",2014,"02",4501,"Nondurable Goods"
"1406",2014,"03",4499,"Nondurable Goods"
"1407",2014,"04",4502,"Nondurable Goods"
"1408",2014,"05",4499,"Nondurable Goods"
"1409",2014,"06",4501,"Nondurable Goods"
"1410",2014,"07",4503,"Nondurable Goods"
"1411",2014,"08",4509,"Nondurable Goods"
"1412",2014,"09",4517,"Nondurable Goods"
"1413",2014,"10",4527,"Nondurable Goods"
"1414",2014,"11",4535,"Nondurable Goods"
"1415",2014,"12",4540,"Nondurable Goods"
"1416",2015,"01",4540,"Nondurable Goods"
"1417",2015,"02",4541,"Nondurable Goods"
"1418",2015,"03",4548,"Nondurable Goods"
"1419",2015,"04",4555,"Nondurable Goods"
"1420",2015,"05",4560,"Nondurable Goods"
"1421",2015,"06",4562,"Nondurable Goods"
"1422",2015,"07",4575,"Nondurable Goods"
"1423",2015,"08",4571,"Nondurable Goods"
"1424",2015,"09",4581,"Nondurable Goods"
"1425",2015,"10",4592,"Nondurable Goods"
"1426",2015,"11",4601,"Nondurable Goods"
"1427",2015,"12",4612,"Nondurable Goods"
"1428",2016,"01",4618,"Nondurable Goods"
"1429",2016,"02",4618,"Nondurable Goods"
"1430",2016,"03",4616,"Nondurable Goods"
"1431",2016,"04",4620,"Nondurable Goods"
"1432",2016,"05",4625,"Nondurable Goods"
"1433",2016,"06",4647,"Nondurable Goods"
"1434",2016,"07",4650,"Nondurable Goods"
"1435",2016,"08",4653,"Nondurable Goods"
"1436",2016,"09",4656,"Nondurable Goods"
"1437",2016,"10",4654,"Nondurable Goods"
"1438",2016,"11",4656,"Nondurable Goods"
"1439",2016,"12",4661,"Nondurable Goods"
"1440",2017,"01",4668,"Nondurable Goods"
"1441",2017,"02",4686,"Nondurable Goods"
"1442",2017,"03",4691,"Nondurable Goods"
"1443",2017,"04",4694,"Nondurable Goods"
"1444",2017,"05",4691,"Nondurable Goods"
"1445",2017,"06",4692,"Nondurable Goods"
"1446",2017,"07",4699,"Nondurable Goods"
"1447",2017,"08",4711,"Nondurable Goods"
"1448",2017,"09",4709,"Nondurable Goods"
"1449",2017,"10",4715,"Nondurable Goods"
"1450",2017,"11",4715,"Nondurable Goods"
"1451",2017,"12",4719,"Nondurable Goods"
"1452",2018,"01",4723,"Nondurable Goods"
"1453",2018,"02",4727,"Nondurable Goods"
"1454",2018,"03",4725,"Nondurable Goods"
"1455",2018,"04",4728,"Nondurable Goods"
"1456",2018,"05",4738,"Nondurable Goods"
"1457",2018,"06",4743,"Nondurable Goods"
"1458",2018,"07",4745,"Nondurable Goods"
"1459",2018,"08",4747,"Nondurable Goods"
"1460",2018,"09",4749,"Nondurable Goods"
"1461",2018,"10",4753,"Nondurable Goods"
"1462",2018,"11",4762,"Nondurable Goods"
"1463",2018,"12",4767,"Nondurable Goods"
"1464",2019,"01",4766,"Nondurable Goods"
"1465",2019,"02",4768,"Nondurable Goods"
"1466",2019,"03",4771,"Nondurable Goods"
"1467",2019,"04",4773,"Nondurable Goods"
"1468",2019,"05",4773,"Nondurable Goods"
"1469",2019,"06",4774,"Nondurable Goods"
"1470",2019,"07",4778,"Nondurable Goods"
"1471",2019,"08",4782,"Nondurable Goods"
"1472",2019,"09",4785,"Nondurable Goods"
"1473",2019,"10",4791,"Nondurable Goods"
"1474",2019,"11",4804,"Nondurable Goods"
"1475",2019,"12",4802,"Nondurable Goods"
"1476",2020,"01",4792,"Nondurable Goods"
"1477",2020,"02",4794,"Nondurable Goods"
"1478",2020,"03",4775,"Nondurable Goods"
"1479",2020,"04",4363,"Nondurable Goods"
"1480",2020,"05",4460,"Nondurable Goods"
"1481",2020,"06",4527,"Nondurable Goods"
"1482",2020,"07",4538,"Nondurable Goods"
"1483",2000,"01",26061,"Trade, transportation, and utilities"
"1484",2000,"02",26086,"Trade, transportation, and utilities"
"1485",2000,"03",26134,"Trade, transportation, and utilities"
"1486",2000,"04",26211,"Trade, transportation, and utilities"
"1487",2000,"05",26137,"Trade, transportation, and utilities"
"1488",2000,"06",26156,"Trade, transportation, and utilities"
"1489",2000,"07",26181,"Trade, transportation, and utilities"
"1490",2000,"08",26201,"Trade, transportation, and utilities"
"1491",2000,"09",26194,"Trade, transportation, and utilities"
"1492",2000,"10",26214,"Trade, transportation, and utilities"
"1493",2000,"11",26232,"Trade, transportation, and utilities"
"1494",2000,"12",26280,"Trade, transportation, and utilities"
"1495",2001,"01",26202,"Trade, transportation, and utilities"
"1496",2001,"02",26207,"Trade, transportation, and utilities"
"1497",2001,"03",26158,"Trade, transportation, and utilities"
"1498",2001,"04",26037,"Trade, transportation, and utilities"
"1499",2001,"05",26014,"Trade, transportation, and utilities"
"1500",2001,"06",25979,"Trade, transportation, and utilities"
"1501",2001,"07",25914,"Trade, transportation, and utilities"
"1502",2001,"08",25903,"Trade, transportation, and utilities"
"1503",2001,"09",25819,"Trade, transportation, and utilities"
"1504",2001,"10",25744,"Trade, transportation, and utilities"
"1505",2001,"11",25655,"Trade, transportation, and utilities"
"1506",2001,"12",25574,"Trade, transportation, and utilities"
"1507",2002,"01",25510,"Trade, transportation, and utilities"
"1508",2002,"02",25511,"Trade, transportation, and utilities"
"1509",2002,"03",25493,"Trade, transportation, and utilities"
"1510",2002,"04",25488,"Trade, transportation, and utilities"
"1511",2002,"05",25466,"Trade, transportation, and utilities"
"1512",2002,"06",25468,"Trade, transportation, and utilities"
"1513",2002,"07",25480,"Trade, transportation, and utilities"
"1514",2002,"08",25423,"Trade, transportation, and utilities"
"1515",2002,"09",25378,"Trade, transportation, and utilities"
"1516",2002,"10",25393,"Trade, transportation, and utilities"
"1517",2002,"11",25356,"Trade, transportation, and utilities"
"1518",2002,"12",25373,"Trade, transportation, and utilities"
"1519",2003,"01",25322,"Trade, transportation, and utilities"
"1520",2003,"02",25300,"Trade, transportation, and utilities"
"1521",2003,"03",25253,"Trade, transportation, and utilities"
"1522",2003,"04",25241,"Trade, transportation, and utilities"
"1523",2003,"05",25216,"Trade, transportation, and utilities"
"1524",2003,"06",25183,"Trade, transportation, and utilities"
"1525",2003,"07",25159,"Trade, transportation, and utilities"
"1526",2003,"08",25172,"Trade, transportation, and utilities"
"1527",2003,"09",25217,"Trade, transportation, and utilities"
"1528",2003,"10",25253,"Trade, transportation, and utilities"
"1529",2003,"11",25211,"Trade, transportation, and utilities"
"1530",2003,"12",25207,"Trade, transportation, and utilities"
"1531",2004,"01",25299,"Trade, transportation, and utilities"
"1532",2004,"02",25309,"Trade, transportation, and utilities"
"1533",2004,"03",25382,"Trade, transportation, and utilities"
"1534",2004,"04",25417,"Trade, transportation, and utilities"
"1535",2004,"05",25447,"Trade, transportation, and utilities"
"1536",2004,"06",25490,"Trade, transportation, and utilities"
"1537",2004,"07",25487,"Trade, transportation, and utilities"
"1538",2004,"08",25497,"Trade, transportation, and utilities"
"1539",2004,"09",25556,"Trade, transportation, and utilities"
"1540",2004,"10",25596,"Trade, transportation, and utilities"
"1541",2004,"11",25598,"Trade, transportation, and utilities"
"1542",2004,"12",25622,"Trade, transportation, and utilities"
"1543",2005,"01",25652,"Trade, transportation, and utilities"
"1544",2005,"02",25719,"Trade, transportation, and utilities"
"1545",2005,"03",25744,"Trade, transportation, and utilities"
"1546",2005,"04",25818,"Trade, transportation, and utilities"
"1547",2005,"05",25859,"Trade, transportation, and utilities"
"1548",2005,"06",25903,"Trade, transportation, and utilities"
"1549",2005,"07",25963,"Trade, transportation, and utilities"
"1550",2005,"08",25997,"Trade, transportation, and utilities"
"1551",2005,"09",25988,"Trade, transportation, and utilities"
"1552",2005,"10",25997,"Trade, transportation, and utilities"
"1553",2005,"11",26036,"Trade, transportation, and utilities"
"1554",2005,"12",26055,"Trade, transportation, and utilities"
"1555",2006,"01",26092,"Trade, transportation, and utilities"
"1556",2006,"02",26128,"Trade, transportation, and utilities"
"1557",2006,"03",26169,"Trade, transportation, and utilities"
"1558",2006,"04",26153,"Trade, transportation, and utilities"
"1559",2006,"05",26149,"Trade, transportation, and utilities"
"1560",2006,"06",26168,"Trade, transportation, and utilities"
"1561",2006,"07",26191,"Trade, transportation, and utilities"
"1562",2006,"08",26208,"Trade, transportation, and utilities"
"1563",2006,"09",26242,"Trade, transportation, and utilities"
"1564",2006,"10",26268,"Trade, transportation, and utilities"
"1565",2006,"11",26321,"Trade, transportation, and utilities"
"1566",2006,"12",26372,"Trade, transportation, and utilities"
"1567",2007,"01",26418,"Trade, transportation, and utilities"
"1568",2007,"02",26466,"Trade, transportation, and utilities"
"1569",2007,"03",26541,"Trade, transportation, and utilities"
"1570",2007,"04",26527,"Trade, transportation, and utilities"
"1571",2007,"05",26560,"Trade, transportation, and utilities"
"1572",2007,"06",26549,"Trade, transportation, and utilities"
"1573",2007,"07",26560,"Trade, transportation, and utilities"
"1574",2007,"08",26558,"Trade, transportation, and utilities"
"1575",2007,"09",26587,"Trade, transportation, and utilities"
"1576",2007,"10",26585,"Trade, transportation, and utilities"
"1577",2007,"11",26643,"Trade, transportation, and utilities"
"1578",2007,"12",26640,"Trade, transportation, and utilities"
"1579",2008,"01",26630,"Trade, transportation, and utilities"
"1580",2008,"02",26583,"Trade, transportation, and utilities"
"1581",2008,"03",26581,"Trade, transportation, and utilities"
"1582",2008,"04",26463,"Trade, transportation, and utilities"
"1583",2008,"05",26384,"Trade, transportation, and utilities"
"1584",2008,"06",26323,"Trade, transportation, and utilities"
"1585",2008,"07",26263,"Trade, transportation, and utilities"
"1586",2008,"08",26166,"Trade, transportation, and utilities"
"1587",2008,"09",26048,"Trade, transportation, and utilities"
"1588",2008,"10",25918,"Trade, transportation, and utilities"
"1589",2008,"11",25731,"Trade, transportation, and utilities"
"1590",2008,"12",25551,"Trade, transportation, and utilities"
"1591",2009,"01",25415,"Trade, transportation, and utilities"
"1592",2009,"02",25268,"Trade, transportation, and utilities"
"1593",2009,"03",25123,"Trade, transportation, and utilities"
"1594",2009,"04",24942,"Trade, transportation, and utilities"
"1595",2009,"05",24893,"Trade, transportation, and utilities"
"1596",2009,"06",24835,"Trade, transportation, and utilities"
"1597",2009,"07",24734,"Trade, transportation, and utilities"
"1598",2009,"08",24697,"Trade, transportation, and utilities"
"1599",2009,"09",24643,"Trade, transportation, and utilities"
"1600",2009,"10",24537,"Trade, transportation, and utilities"
"1601",2009,"11",24519,"Trade, transportation, and utilities"
"1602",2009,"12",24409,"Trade, transportation, and utilities"
"1603",2010,"01",24476,"Trade, transportation, and utilities"
"1604",2010,"02",24461,"Trade, transportation, and utilities"
"1605",2010,"03",24521,"Trade, transportation, and utilities"
"1606",2010,"04",24507,"Trade, transportation, and utilities"
"1607",2010,"05",24526,"Trade, transportation, and utilities"
"1608",2010,"06",24549,"Trade, transportation, and utilities"
"1609",2010,"07",24574,"Trade, transportation, and utilities"
"1610",2010,"08",24577,"Trade, transportation, and utilities"
"1611",2010,"09",24623,"Trade, transportation, and utilities"
"1612",2010,"10",24675,"Trade, transportation, and utilities"
"1613",2010,"11",24664,"Trade, transportation, and utilities"
"1614",2010,"12",24686,"Trade, transportation, and utilities"
"1615",2011,"01",24721,"Trade, transportation, and utilities"
"1616",2011,"02",24787,"Trade, transportation, and utilities"
"1617",2011,"03",24845,"Trade, transportation, and utilities"
"1618",2011,"04",24934,"Trade, transportation, and utilities"
"1619",2011,"05",24947,"Trade, transportation, and utilities"
"1620",2011,"06",25007,"Trade, transportation, and utilities"
"1621",2011,"07",25059,"Trade, transportation, and utilities"
"1622",2011,"08",25070,"Trade, transportation, and utilities"
"1623",2011,"09",25105,"Trade, transportation, and utilities"
"1624",2011,"10",25133,"Trade, transportation, and utilities"
"1625",2011,"11",25151,"Trade, transportation, and utilities"
"1626",2011,"12",25162,"Trade, transportation, and utilities"
"1627",2012,"01",25267,"Trade, transportation, and utilities"
"1628",2012,"02",25283,"Trade, transportation, and utilities"
"1629",2012,"03",25326,"Trade, transportation, and utilities"
"1630",2012,"04",25339,"Trade, transportation, and utilities"
"1631",2012,"05",25378,"Trade, transportation, and utilities"
"1632",2012,"06",25368,"Trade, transportation, and utilities"
"1633",2012,"07",25379,"Trade, transportation, and utilities"
"1634",2012,"08",25404,"Trade, transportation, and utilities"
"1635",2012,"09",25441,"Trade, transportation, and utilities"
"1636",2012,"10",25477,"Trade, transportation, and utilities"
"1637",2012,"11",25545,"Trade, transportation, and utilities"
"1638",2012,"12",25556,"Trade, transportation, and utilities"
"1639",2013,"01",25593,"Trade, transportation, and utilities"
"1640",2013,"02",25610,"Trade, transportation, and utilities"
"1641",2013,"03",25602,"Trade, transportation, and utilities"
"1642",2013,"04",25637,"Trade, transportation, and utilities"
"1643",2013,"05",25673,"Trade, transportation, and utilities"
"1644",2013,"06",25731,"Trade, transportation, and utilities"
"1645",2013,"07",25768,"Trade, transportation, and utilities"
"1646",2013,"08",25829,"Trade, transportation, and utilities"
"1647",2013,"09",25902,"Trade, transportation, and utilities"
"1648",2013,"10",25930,"Trade, transportation, and utilities"
"1649",2013,"11",25976,"Trade, transportation, and utilities"
"1650",2013,"12",26067,"Trade, transportation, and utilities"
"1651",2014,"01",26076,"Trade, transportation, and utilities"
"1652",2014,"02",26058,"Trade, transportation, and utilities"
"1653",2014,"03",26086,"Trade, transportation, and utilities"
"1654",2014,"04",26168,"Trade, transportation, and utilities"
"1655",2014,"05",26223,"Trade, transportation, and utilities"
"1656",2014,"06",26283,"Trade, transportation, and utilities"
"1657",2014,"07",26337,"Trade, transportation, and utilities"
"1658",2014,"08",26363,"Trade, transportation, and utilities"
"1659",2014,"09",26415,"Trade, transportation, and utilities"
"1660",2014,"10",26489,"Trade, transportation, and utilities"
"1661",2014,"11",26548,"Trade, transportation, and utilities"
"1662",2014,"12",26593,"Trade, transportation, and utilities"
"1663",2015,"01",26613,"Trade, transportation, and utilities"
"1664",2015,"02",26657,"Trade, transportation, and utilities"
"1665",2015,"03",26684,"Trade, transportation, and utilities"
"1666",2015,"04",26707,"Trade, transportation, and utilities"
"1667",2015,"05",26767,"Trade, transportation, and utilities"
"1668",2015,"06",26814,"Trade, transportation, and utilities"
"1669",2015,"07",26859,"Trade, transportation, and utilities"
"1670",2015,"08",26870,"Trade, transportation, and utilities"
"1671",2015,"09",26874,"Trade, transportation, and utilities"
"1672",2015,"10",26908,"Trade, transportation, and utilities"
"1673",2015,"11",26945,"Trade, transportation, and utilities"
"1674",2015,"12",26978,"Trade, transportation, and utilities"
"1675",2016,"01",26976,"Trade, transportation, and utilities"
"1676",2016,"02",27036,"Trade, transportation, and utilities"
"1677",2016,"03",27093,"Trade, transportation, and utilities"
"1678",2016,"04",27118,"Trade, transportation, and utilities"
"1679",2016,"05",27132,"Trade, transportation, and utilities"
"1680",2016,"06",27164,"Trade, transportation, and utilities"
"1681",2016,"07",27205,"Trade, transportation, and utilities"
"1682",2016,"08",27254,"Trade, transportation, and utilities"
"1683",2016,"09",27269,"Trade, transportation, and utilities"
"1684",2016,"10",27288,"Trade, transportation, and utilities"
"1685",2016,"11",27284,"Trade, transportation, and utilities"
"1686",2016,"12",27350,"Trade, transportation, and utilities"
"1687",2017,"01",27357,"Trade, transportation, and utilities"
"1688",2017,"02",27342,"Trade, transportation, and utilities"
"1689",2017,"03",27339,"Trade, transportation, and utilities"
"1690",2017,"04",27352,"Trade, transportation, and utilities"
"1691",2017,"05",27339,"Trade, transportation, and utilities"
"1692",2017,"06",27366,"Trade, transportation, and utilities"
"1693",2017,"07",27368,"Trade, transportation, and utilities"
"1694",2017,"08",27385,"Trade, transportation, and utilities"
"1695",2017,"09",27410,"Trade, transportation, and utilities"
"1696",2017,"10",27435,"Trade, transportation, and utilities"
"1697",2017,"11",27449,"Trade, transportation, and utilities"
"1698",2017,"12",27465,"Trade, transportation, and utilities"
"1699",2018,"01",27448,"Trade, transportation, and utilities"
"1700",2018,"02",27525,"Trade, transportation, and utilities"
"1701",2018,"03",27578,"Trade, transportation, and utilities"
"1702",2018,"04",27574,"Trade, transportation, and utilities"
"1703",2018,"05",27602,"Trade, transportation, and utilities"
"1704",2018,"06",27589,"Trade, transportation, and utilities"
"1705",2018,"07",27598,"Trade, transportation, and utilities"
"1706",2018,"08",27657,"Trade, transportation, and utilities"
"1707",2018,"09",27636,"Trade, transportation, and utilities"
"1708",2018,"10",27633,"Trade, transportation, and utilities"
"1709",2018,"11",27691,"Trade, transportation, and utilities"
"1710",2018,"12",27666,"Trade, transportation, and utilities"
"1711",2019,"01",27711,"Trade, transportation, and utilities"
"1712",2019,"02",27688,"Trade, transportation, and utilities"
"1713",2019,"03",27665,"Trade, transportation, and utilities"
"1714",2019,"04",27671,"Trade, transportation, and utilities"
"1715",2019,"05",27667,"Trade, transportation, and utilities"
"1716",2019,"06",27686,"Trade, transportation, and utilities"
"1717",2019,"07",27692,"Trade, transportation, and utilities"
"1718",2019,"08",27688,"Trade, transportation, and utilities"
"1719",2019,"09",27712,"Trade, transportation, and utilities"
"1720",2019,"10",27750,"Trade, transportation, and utilities"
"1721",2019,"11",27762,"Trade, transportation, and utilities"
"1722",2019,"12",27809,"Trade, transportation, and utilities"
"1723",2020,"01",27832,"Trade, transportation, and utilities"
"1724",2020,"02",27830,"Trade, transportation, and utilities"
"1725",2020,"03",27723,"Trade, transportation, and utilities"
"1726",2020,"04",24475,"Trade, transportation, and utilities"
"1727",2020,"05",24858,"Trade, transportation, and utilities"
"1728",2020,"06",25832,"Trade, transportation, and utilities"
"1729",2020,"07",26123,"Trade, transportation, and utilities"
"1730",2000,"01",15183.9,"Retail trade"
"1731",2000,"02",15197.7,"Retail trade"
"1732",2000,"03",15223.2,"Retail trade"
"1733",2000,"04",15307.8,"Retail trade"
"1734",2000,"05",15251.8,"Retail trade"
"1735",2000,"06",15261.1,"Retail trade"
"1736",2000,"07",15287.5,"Retail trade"
"1737",2000,"08",15301.1,"Retail trade"
"1738",2000,"09",15322.5,"Retail trade"
"1739",2000,"10",15329.7,"Retail trade"
"1740",2000,"11",15339.2,"Retail trade"
"1741",2000,"12",15379.4,"Retail trade"
"1742",2001,"01",15358.6,"Retail trade"
"1743",2001,"02",15384.1,"Retail trade"
"1744",2001,"03",15348.7,"Retail trade"
"1745",2001,"04",15264.1,"Retail trade"
"1746",2001,"05",15259.2,"Retail trade"
"1747",2001,"06",15262.9,"Retail trade"
"1748",2001,"07",15207.4,"Retail trade"
"1749",2001,"08",15212.2,"Retail trade"
"1750",2001,"09",15203.4,"Retail trade"
"1751",2001,"10",15174.3,"Retail trade"
"1752",2001,"11",15150.7,"Retail trade"
"1753",2001,"12",15101.2,"Retail trade"
"1754",2002,"01",15065.2,"Retail trade"
"1755",2002,"02",15074.5,"Retail trade"
"1756",2002,"03",15074.2,"Retail trade"
"1757",2002,"04",15079.9,"Retail trade"
"1758",2002,"05",15054.2,"Retail trade"
"1759",2002,"06",15045,"Retail trade"
"1760",2002,"07",15046.7,"Retail trade"
"1761",2002,"08",14997,"Retail trade"
"1762",2002,"09",14982.5,"Retail trade"
"1763",2002,"10",14988.7,"Retail trade"
"1764",2002,"11",14970.7,"Retail trade"
"1765",2002,"12",14986.1,"Retail trade"
"1766",2003,"01",14964.3,"Retail trade"
"1767",2003,"02",14930.6,"Retail trade"
"1768",2003,"03",14904.1,"Retail trade"
"1769",2003,"04",14917.9,"Retail trade"
"1770",2003,"05",14906.1,"Retail trade"
"1771",2003,"06",14895.4,"Retail trade"
"1772",2003,"07",14888,"Retail trade"
"1773",2003,"08",14906,"Retail trade"
"1774",2003,"09",14944.1,"Retail trade"
"1775",2003,"10",14971.8,"Retail trade"
"1776",2003,"11",14925.5,"Retail trade"
"1777",2003,"12",14922.9,"Retail trade"
"1778",2004,"01",14973.8,"Retail trade"
"1779",2004,"02",14975.3,"Retail trade"
"1780",2004,"03",15024.8,"Retail trade"
"1781",2004,"04",15046.4,"Retail trade"
"1782",2004,"05",15062.4,"Retail trade"
"1783",2004,"06",15087.6,"Retail trade"
"1784",2004,"07",15068.6,"Retail trade"
"1785",2004,"08",15067.3,"Retail trade"
"1786",2004,"09",15101.1,"Retail trade"
"1787",2004,"10",15129,"Retail trade"
"1788",2004,"11",15133.8,"Retail trade"
"1789",2004,"12",15126.8,"Retail trade"
"1790",2005,"01",15151.9,"Retail trade"
"1791",2005,"02",15192.4,"Retail trade"
"1792",2005,"03",15199.7,"Retail trade"
"1793",2005,"04",15247.9,"Retail trade"
"1794",2005,"05",15267.9,"Retail trade"
"1795",2005,"06",15300.9,"Retail trade"
"1796",2005,"07",15338.7,"Retail trade"
"1797",2005,"08",15356.9,"Retail trade"
"1798",2005,"09",15339.8,"Retail trade"
"1799",2005,"10",15333.2,"Retail trade"
"1800",2005,"11",15348.7,"Retail trade"
"1801",2005,"12",15352,"Retail trade"
"1802",2006,"01",15353.6,"Retail trade"
"1803",2006,"02",15363,"Retail trade"
"1804",2006,"03",15392,"Retail trade"
"1805",2006,"04",15347.7,"Retail trade"
"1806",2006,"05",15320.1,"Retail trade"
"1807",2006,"06",15330.2,"Retail trade"
"1808",2006,"07",15329.6,"Retail trade"
"1809",2006,"08",15338.9,"Retail trade"
"1810",2006,"09",15354.3,"Retail trade"
"1811",2006,"10",15373.7,"Retail trade"
"1812",2006,"11",15402.6,"Retail trade"
"1813",2006,"12",15407.3,"Retail trade"
"1814",2007,"01",15447.6,"Retail trade"
"1815",2007,"02",15479.3,"Retail trade"
"1816",2007,"03",15547.7,"Retail trade"
"1817",2007,"04",15513.2,"Retail trade"
"1818",2007,"05",15534.5,"Retail trade"
"1819",2007,"06",15513.9,"Retail trade"
"1820",2007,"07",15515,"Retail trade"
"1821",2007,"08",15517.1,"Retail trade"
"1822",2007,"09",15523.3,"Retail trade"
"1823",2007,"10",15518.4,"Retail trade"
"1824",2007,"11",15578.9,"Retail trade"
"1825",2007,"12",15577.4,"Retail trade"
"1826",2008,"01",15568.5,"Retail trade"
"1827",2008,"02",15527.5,"Retail trade"
"1828",2008,"03",15534.5,"Retail trade"
"1829",2008,"04",15433.6,"Retail trade"
"1830",2008,"05",15379.2,"Retail trade"
"1831",2008,"06",15342.8,"Retail trade"
"1832",2008,"07",15307.4,"Retail trade"
"1833",2008,"08",15249,"Retail trade"
"1834",2008,"09",15178.6,"Retail trade"
"1835",2008,"10",15100.8,"Retail trade"
"1836",2008,"11",14989.4,"Retail trade"
"1837",2008,"12",14876.9,"Retail trade"
"1838",2009,"01",14794.5,"Retail trade"
"1839",2009,"02",14719.4,"Retail trade"
"1840",2009,"03",14650.7,"Retail trade"
"1841",2009,"04",14563.1,"Retail trade"
"1842",2009,"05",14558.3,"Retail trade"
"1843",2009,"06",14541,"Retail trade"
"1844",2009,"07",14488.9,"Retail trade"
"1845",2009,"08",14480.5,"Retail trade"
"1846",2009,"09",14450.2,"Retail trade"
"1847",2009,"10",14381.6,"Retail trade"
"1848",2009,"11",14379.4,"Retail trade"
"1849",2009,"12",14334.8,"Retail trade"
"1850",2010,"01",14401,"Retail trade"
"1851",2010,"02",14397.1,"Retail trade"
"1852",2010,"03",14446.7,"Retail trade"
"1853",2010,"04",14427.2,"Retail trade"
"1854",2010,"05",14438.6,"Retail trade"
"1855",2010,"06",14442.1,"Retail trade"
"1856",2010,"07",14449.2,"Retail trade"
