"","year","period","industry_text","value_earnings","value_jo","value_hi","value_ts","value_qu","value_dl","turnover","growth"
"741",2005,"08","Trade, transportation, and utilities",25997,764,1198,1151,728,359,"high_turnover","high_growth"
"742",2005,"09","Construction",7415,161,541,517,242,257,"high_turnover","medium_growth"
"743",2005,"09","Education and health services",17789,715,545,505,315,157,"medium_turnover","high_growth"
"744",2005,"09","Financial activities",8224,314,218,216,138,67,"low_turnover","low_growth"
"745",2005,"09","Government",21845,407,327,338,163,122,"low_turnover","medium_growth"
"746",2005,"09","Information",3070,129,103,101,63,32,"low_turnover","low_growth"
"747",2005,"09","Leisure and hospitality",12862,485,932,956,626,315,"high_turnover","medium_growth"
"748",2005,"09","Manufacturing",14175,333,404,408,210,157,"medium_turnover","medium_growth"
"749",2005,"09","Mining and logging",636,20,23,18,7,10,"low_turnover","low_growth"
"750",2005,"09","Other services",5399,204,198,205,134,59,"low_turnover","low_growth"
"751",2005,"09","Professional and business services",17163,818,1022,926,488,373,"high_turnover","high_growth"
"752",2005,"09","Retail trade",15339.8,514,836,880,485,362,"high_turnover","high_growth"
"753",2005,"09","Total private",112721,3969,5167,5064,2888,1909,"high_turnover","high_growth"
"754",2005,"09","Trade, transportation, and utilities",25988,788,1180,1212,665,483,"high_turnover","high_growth"
"755",2005,"10","Construction",7460,176,504,466,226,206,"high_turnover","medium_growth"
"756",2005,"10","Education and health services",17812,692,514,496,303,158,"medium_turnover","high_growth"
"757",2005,"10","Financial activities",8260,345,236,202,111,79,"low_turnover","low_growth"
"758",2005,"10","Government",21829,356,317,328,170,108,"low_turnover","medium_growth"
"759",2005,"10","Information",3056,121,76,93,61,26,"low_turnover","low_growth"
"760",2005,"10","Leisure and hospitality",12840,505,867,925,636,273,"high_turnover","medium_growth"
"761",2005,"10","Manufacturing",14192,280,393,398,219,131,"medium_turnover","low_growth"
"762",2005,"10","Mining and logging",640,15,23,19,9,9,"low_turnover","low_growth"
"763",2005,"10","Other services",5386,235,190,195,119,67,"low_turnover","low_growth"
"764",2005,"10","Professional and business services",17183,705,892,840,360,430,"high_turnover","high_growth"
"765",2005,"10","Retail trade",15333.2,470,765,771,494,240,"high_turnover","high_growth"
"766",2005,"10","Total private",112826,3863,4807,4738,2698,1774,"high_turnover","high_growth"
"767",2005,"10","Trade, transportation, and utilities",25997,788,1113,1104,652,393,"high_turnover","high_growth"
"768",2005,"11","Construction",7524,134,505,452,210,213,"high_turnover","medium_growth"
"769",2005,"11","Education and health services",17864,677,528,476,310,145,"medium_turnover","high_growth"
"770",2005,"11","Financial activities",8282,308,244,195,118,64,"low_turnover","low_growth"
"771",2005,"11","Government",21859,355,344,319,162,110,"low_turnover","medium_growth"
"772",2005,"11","Information",3056,101,103,101,54,41,"low_turnover","low_growth"
"773",2005,"11","Leisure and hospitality",12884,529,922,868,581,266,"high_turnover","medium_growth"
"774",2005,"11","Manufacturing",14187,304,385,399,200,152,"medium_turnover","low_growth"
"775",2005,"11","Mining and logging",646,13,24,22,11,7,"low_turnover","low_growth"
"776",2005,"11","Other services",5393,130,233,225,158,46,"low_turnover","low_growth"
"777",2005,"11","Professional and business services",17262,783,905,820,430,320,"high_turnover","high_growth"
"778",2005,"11","Retail trade",15348.7,505,744,748,484,230,"high_turnover","high_growth"
"779",2005,"11","Total private",113134,3762,5000,4670,2719,1663,"high_turnover","high_growth"
"780",2005,"11","Trade, transportation, and utilities",26036,783,1149,1112,647,410,"high_turnover","high_growth"
"781",2005,"12","Construction",7533,117,491,490,230,242,"high_turnover","medium_growth"
"782",2005,"12","Education and health services",17894,687,525,491,295,160,"medium_turnover","high_growth"
"783",2005,"12","Financial activities",8286,402,228,201,118,63,"low_turnover","medium_growth"
"784",2005,"12","Government",21879,418,347,317,152,116,"low_turnover","medium_growth"
"785",2005,"12","Information",3053,96,94,96,56,28,"low_turnover","low_growth"
"786",2005,"12","Leisure and hospitality",12905,587,918,914,558,311,"high_turnover","medium_growth"
"787",2005,"12","Manufacturing",14193,288,373,378,180,154,"low_turnover","low_growth"
"788",2005,"12","Mining and logging",650,12,23,19,9,7,"low_turnover","low_growth"
"789",2005,"12","Other services",5405,106,188,182,109,63,"low_turnover","low_growth"
"790",2005,"12","Professional and business services",17296,750,936,870,432,381,"high_turnover","high_growth"
"791",2005,"12","Retail trade",15352,465,798,822,521,235,"high_turnover","high_growth"
"792",2005,"12","Total private",113270,3728,4947,4846,2689,1810,"high_turnover","high_growth"
"793",2005,"12","Trade, transportation, and utilities",26055,682,1170,1205,701,402,"high_turnover","high_growth"
"794",2006,"01","Construction",7601,156,514,473,206,243,"high_turnover","medium_growth"
"795",2006,"01","Education and health services",17946,734,503,451,267,153,"medium_turnover","high_growth"
"796",2006,"01","Financial activities",8307,435,232,232,145,65,"low_turnover","medium_growth"
"797",2006,"01","Government",21847,385,319,345,164,128,"low_turnover","medium_growth"
"798",2006,"01","Information",3052,150,87,87,52,25,"low_turnover","low_growth"
"799",2006,"01","Leisure and hospitality",12945,634,928,917,611,276,"high_turnover","medium_growth"
"800",2006,"01","Manufacturing",14210,330,378,362,189,130,"medium_turnover","low_growth"
"801",2006,"01","Mining and logging",656,14,23,17,10,4,"low_turnover","low_growth"
"802",2006,"01","Other services",5425,104,196,175,111,54,"low_turnover","low_growth"
"803",2006,"01","Professional and business services",17348,748,937,909,508,329,"high_turnover","high_growth"
"804",2006,"01","Retail trade",15353.6,465,815,820,525,254,"high_turnover","high_growth"
"805",2006,"01","Total private",113582,4019,4952,4768,2785,1667,"high_turnover","high_growth"
"806",2006,"01","Trade, transportation, and utilities",26092,716,1154,1145,686,388,"high_turnover","high_growth"
"807",2006,"02","Construction",7664,146,483,430,181,228,"medium_turnover","medium_growth"
"808",2006,"02","Education and health services",17998,742,513,452,311,119,"medium_turnover","high_growth"
"809",2006,"02","Financial activities",8332,357,265,239,137,85,"low_turnover","low_growth"
"810",2006,"02","Government",21878,369,353,334,165,116,"low_turnover","medium_growth"
"811",2006,"02","Information",3052,109,111,114,58,48,"low_turnover","low_growth"
"812",2006,"02","Leisure and hospitality",12980,594,957,929,594,302,"high_turnover","medium_growth"
"813",2006,"02","Manufacturing",14209,347,385,401,201,154,"medium_turnover","low_growth"
"814",2006,"02","Mining and logging",662,16,25,19,10,8,"low_turnover","low_growth"
"815",2006,"02","Other services",5426,84,194,199,111,76,"low_turnover","low_growth"
"816",2006,"02","Professional and business services",17408,770,957,922,500,361,"high_turnover","high_growth"
"817",2006,"02","Retail trade",15363,465,881,830,509,270,"high_turnover","high_growth"
"818",2006,"02","Total private",113859,3892,5121,4846,2783,1759,"high_turnover","high_growth"
"819",2006,"02","Trade, transportation, and utilities",26128,729,1230,1140,681,378,"high_turnover","high_growth"
"820",2006,"03","Construction",7689,185,504,442,197,224,"high_turnover","medium_growth"
"821",2006,"03","Education and health services",18045,721,510,462,295,139,"medium_turnover","high_growth"
"822",2006,"03","Financial activities",8349,370,263,246,135,84,"low_turnover","low_growth"
"823",2006,"03","Government",21903,430,379,351,170,124,"low_turnover","medium_growth"
"824",2006,"03","Information",3055,113,93,94,53,28,"low_turnover","low_growth"
"825",2006,"03","Leisure and hospitality",13034,563,943,897,577,287,"high_turnover","medium_growth"
"826",2006,"03","Manufacturing",14214,342,412,411,200,172,"medium_turnover","medium_growth"
"827",2006,"03","Mining and logging",669,16,30,24,11,10,"low_turnover","low_growth"
"828",2006,"03","Other services",5425,208,204,202,140,51,"low_turnover","low_growth"
"829",2006,"03","Professional and business services",17495,853,1031,953,480,405,"high_turnover","high_growth"
"830",2006,"03","Retail trade",15392,583,825,810,521,246,"high_turnover","high_growth"
"831",2006,"03","Total private",114144,4276,5145,4845,2778,1753,"high_turnover","high_growth"
"832",2006,"03","Trade, transportation, and utilities",26169,905,1156,1114,690,353,"high_turnover","high_growth"
"833",2006,"04","Construction",7726,222,465,414,207,165,"medium_turnover","medium_growth"
"834",2006,"04","Education and health services",18070,736,526,500,289,160,"medium_turnover","high_growth"
"835",2006,"04","Financial activities",8371,412,244,231,123,84,"low_turnover","medium_growth"
"836",2006,"04","Government",21919,433,348,326,161,107,"low_turnover","medium_growth"
"837",2006,"04","Information",3046,159,89,103,55,41,"low_turnover","low_growth"
"838",2006,"04","Leisure and hospitality",13074,676,923,869,499,333,"high_turnover","medium_growth"
"839",2006,"04","Manufacturing",14226,392,359,344,182,129,"low_turnover","medium_growth"
"840",2006,"04","Mining and logging",679,17,35,20,10,9,"low_turnover","low_growth"
"841",2006,"04","Other services",5426,143,210,221,76,133,"low_turnover","low_growth"
"842",2006,"04","Professional and business services",17515,923,866,915,496,345,"high_turnover","high_growth"
"843",2006,"04","Retail trade",15347.7,481,818,833,512,270,"high_turnover","high_growth"
"844",2006,"04","Total private",114286,4483,4866,4748,2622,1749,"high_turnover","high_growth"
"845",2006,"04","Trade, transportation, and utilities",26153,803,1151,1132,686,350,"high_turnover","high_growth"
"846",2006,"05","Construction",7713,182,506,487,212,241,"high_turnover","medium_growth"
"847",2006,"05","Education and health services",18100,699,561,525,327,168,"medium_turnover","high_growth"
"848",2006,"05","Financial activities",8376,343,229,238,130,75,"low_turnover","low_growth"
"849",2006,"05","Government",21926,436,354,350,178,113,"low_turnover","medium_growth"
"850",2006,"05","Information",3039,130,99,98,65,21,"low_turnover","low_growth"
"851",2006,"05","Leisure and hospitality",13052,545,923,921,580,309,"high_turnover","medium_growth"
"852",2006,"05","Manufacturing",14203,307,385,418,225,163,"medium_turnover","low_growth"
"853",2006,"05","Mining and logging",681,14,19,19,11,4,"low_turnover","low_growth"
"854",2006,"05","Other services",5433,168,182,178,97,61,"low_turnover","low_growth"
"855",2006,"05","Professional and business services",17572,855,1084,1035,492,464,"high_turnover","high_growth"
"856",2006,"05","Retail trade",15320.1,511,797,815,506,249,"high_turnover","high_growth"
"857",2006,"05","Total private",114318,4069,5145,5068,2825,1875,"high_turnover","high_growth"
"858",2006,"05","Trade, transportation, and utilities",26149,827,1155,1150,687,368,"high_turnover","high_growth"
"859",2006,"06","Construction",7699,185,448,440,210,207,"high_turnover","medium_growth"
"860",2006,"06","Education and health services",18102,714,504,516,338,141,"medium_turnover","high_growth"
"861",2006,"06","Financial activities",8364,358,251,249,144,79,"low_turnover","low_growth"
"862",2006,"06","Government",21922,425,362,352,169,128,"low_turnover","medium_growth"
"863",2006,"06","Information",3036,132,93,93,61,23,"low_turnover","low_growth"
"864",2006,"06","Leisure and hospitality",13061,539,941,928,642,263,"high_turnover","medium_growth"
"865",2006,"06","Manufacturing",14213,347,409,381,191,160,"medium_turnover","medium_growth"
"866",2006,"06","Mining and logging",686,19,24,18,8,5,"low_turnover","low_growth"
"867",2006,"06","Other services",5432,163,203,198,118,63,"low_turnover","low_growth"
"868",2006,"06","Professional and business services",17642,919,1018,928,479,355,"high_turnover","high_growth"
"869",2006,"06","Retail trade",15330.2,540,859,843,514,275,"high_turnover","high_growth"
"870",2006,"06","Total private",114403,4200,5093,4910,2877,1679,"high_turnover","high_growth"
"871",2006,"06","Trade, transportation, and utilities",26168,826,1201,1161,687,383,"high_turnover","high_growth"
"872",2006,"07","Construction",7712,199,462,471,186,260,"medium_turnover","medium_growth"
"873",2006,"07","Education and health services",18128,628,573,539,325,154,"medium_turnover","high_growth"
"874",2006,"07","Financial activities",8366,251,283,280,172,71,"low_turnover","low_growth"
"875",2006,"07","Government",21973,490,370,337,168,118,"low_turnover","medium_growth"
"876",2006,"07","Information",3031,153,100,96,65,24,"low_turnover","low_growth"
"877",2006,"07","Leisure and hospitality",13130,589,960,893,571,300,"high_turnover","medium_growth"
"878",2006,"07","Manufacturing",14188,318,392,408,211,156,"medium_turnover","low_growth"
"879",2006,"07","Mining and logging",690,15,26,21,11,5,"low_turnover","low_growth"
"880",2006,"07","Other services",5429,166,184,188,112,54,"low_turnover","low_growth"
"881",2006,"07","Professional and business services",17682,949,1070,1012,547,378,"high_turnover","high_growth"
"882",2006,"07","Retail trade",15329.6,417,804,795,527,214,"high_turnover","high_growth"
"883",2006,"07","Total private",114547,3977,5203,5029,2890,1747,"high_turnover","high_growth"
"884",2006,"07","Trade, transportation, and utilities",26191,710,1152,1122,690,345,"high_turnover","high_growth"
"885",2006,"08","Construction",7720,202,425,415,174,221,"medium_turnover","medium_growth"
"886",2006,"08","Education and health services",18182,769,538,500,330,131,"medium_turnover","high_growth"
"887",2006,"08","Financial activities",8374,294,235,240,147,71,"low_turnover","low_growth"
"888",2006,"08","Government",22011,438,369,348,183,99,"low_turnover","medium_growth"
"889",2006,"08","Information",3035,156,92,94,54,28,"low_turnover","low_growth"
"890",2006,"08","Leisure and hospitality",13152,571,894,868,592,244,"high_turnover","medium_growth"
"891",2006,"08","Manufacturing",14159,350,381,392,205,157,"medium_turnover","low_growth"
"892",2006,"08","Mining and logging",693,16,27,23,14,6,"low_turnover","low_growth"
"893",2006,"08","Other services",5432,206,194,196,122,58,"low_turnover","low_growth"
"894",2006,"08","Professional and business services",17728,948,1020,958,540,363,"high_turnover","high_growth"
"895",2006,"08","Retail trade",15338.9,494,811,810,494,268,"high_turnover","high_growth"
"896",2006,"08","Total private",114683,4300,5004,4859,2879,1672,"high_turnover","high_growth"
"897",2006,"08","Trade, transportation, and utilities",26208,787,1198,1174,701,394,"high_turnover","high_growth"
"898",2006,"09","Construction",7718,174,427,423,154,234,"medium_turnover","medium_growth"
"899",2006,"09","Education and health services",18248,762,544,469,311,129,"medium_turnover","high_growth"
"900",2006,"09","Financial activities",8390,278,262,253,166,66,"low_turnover","low_growth"
"901",2006,"09","Government",22082,484,419,330,161,116,"low_turnover","high_growth"
"902",2006,"09","Information",3028,162,84,93,62,23,"low_turnover","low_growth"
"903",2006,"09","Leisure and hospitality",13150,575,867,859,582,258,"high_turnover","medium_growth"
"904",2006,"09","Manufacturing",14125,341,348,374,186,159,"medium_turnover","low_growth"
"905",2006,"09","Mining and logging",694,17,32,32,16,13,"low_turnover","low_growth"
"906",2006,"09","Other services",5448,207,194,179,93,71,"low_turnover","low_growth"
"907",2006,"09","Professional and business services",17718,911,982,973,517,391,"high_turnover","high_growth"
"908",2006,"09","Retail trade",15354.3,520,789,778,481,234,"high_turnover","high_growth"
"909",2006,"09","Total private",114761,4293,4869,4760,2734,1711,"high_turnover","high_growth"
"910",2006,"09","Trade, transportation, and utilities",26242,866,1130,1103,647,368,"high_turnover","high_growth"
"911",2006,"10","Construction",7682,157,419,452,165,242,"medium_turnover","medium_growth"
"912",2006,"10","Education and health services",18288,779,556,508,321,147,"medium_turnover","high_growth"
"913",2006,"10","Financial activities",8385,309,269,282,174,72,"low_turnover","low_growth"
"914",2006,"10","Government",22068,402,307,322,160,106,"low_turnover","medium_growth"
"915",2006,"10","Information",3024,164,87,91,54,31,"low_turnover","low_growth"
"916",2006,"10","Leisure and hospitality",13187,588,935,913,591,301,"high_turnover","medium_growth"
"917",2006,"10","Manufacturing",14075,359,346,380,200,147,"medium_turnover","low_growth"
"918",2006,"10","Mining and logging",699,20,24,22,12,6,"low_turnover","low_growth"
"919",2006,"10","Other services",5454,175,253,237,105,103,"low_turnover","low_growth"
"920",2006,"10","Professional and business services",17722,844,1047,1019,569,383,"high_turnover","high_growth"
"921",2006,"10","Retail trade",15373.7,494,800,775,476,241,"high_turnover","high_growth"
"922",2006,"10","Total private",114784,4241,5068,4997,2832,1799,"high_turnover","high_growth"
"923",2006,"10","Trade, transportation, and utilities",26268,845,1132,1094,639,368,"high_turnover","high_growth"
"924",2006,"11","Construction",7666,105,468,483,159,291,"medium_turnover","medium_growth"
"925",2006,"11","Education and health services",18337,809,539,487,315,137,"medium_turnover","high_growth"
"926",2006,"11","Financial activities",8393,311,266,226,140,73,"low_turnover","low_growth"
"927",2006,"11","Government",22083,425,352,347,165,126,"low_turnover","medium_growth"
"928",2006,"11","Information",3025,152,95,95,54,34,"low_turnover","low_growth"
"929",2006,"11","Leisure and hospitality",13251,616,990,924,594,315,"high_turnover","medium_growth"
"930",2006,"11","Manufacturing",14041,272,363,414,244,143,"medium_turnover","low_growth"
"931",2006,"11","Mining and logging",701,15,22,22,11,6,"low_turnover","low_growth"
"932",2006,"11","Other services",5455,169,184,193,107,66,"low_turnover","low_growth"
"933",2006,"11","Professional and business services",17790,861,1067,1016,520,409,"high_turnover","high_growth"
"934",2006,"11","Retail trade",15402.6,492,815,807,525,226,"high_turnover","high_growth"
"935",2006,"11","Total private",114980,4105,5142,4976,2860,1802,"high_turnover","high_growth"
"936",2006,"11","Trade, transportation, and utilities",26321,795,1148,1116,715,328,"high_turnover","high_growth"
"937",2006,"12","Construction",7685,103,444,431,167,251,"medium_turnover","medium_growth"
"938",2006,"12","Education and health services",18378,764,540,512,338,138,"medium_turnover","high_growth"
"939",2006,"12","Financial activities",8393,276,255,237,140,74,"low_turnover","low_growth"
"940",2006,"12","Government",22088,422,333,329,162,111,"low_turnover","medium_growth"
"941",2006,"12","Information",3032,147,88,84,47,33,"low_turnover","low_growth"
"942",2006,"12","Leisure and hospitality",13292,580,926,905,610,261,"high_turnover","medium_growth"
"943",2006,"12","Manufacturing",14015,301,374,428,245,155,"medium_turnover","low_growth"
"944",2006,"12","Mining and logging",705,16,24,20,12,6,"low_turnover","low_growth"
"945",2006,"12","Other services",5466,234,171,164,90,67,"low_turnover","low_growth"
"946",2006,"12","Professional and business services",17823,795,988,941,528,351,"high_turnover","high_growth"
"947",2006,"12","Retail trade",15407.3,544,749,766,465,232,"high_turnover","high_growth"
"948",2006,"12","Total private",115161,4047,4881,4798,2826,1664,"high_turnover","high_growth"
"949",2006,"12","Trade, transportation, and utilities",26372,831,1071,1077,648,327,"high_turnover","high_growth"
"950",2007,"01","Construction",7725,242,442,429,155,241,"medium_turnover","medium_growth"
"951",2007,"01","Education and health services",18415,757,543,506,304,148,"medium_turnover","high_growth"
"952",2007,"01","Financial activities",8389,228,236,261,171,75,"low_turnover","low_growth"
"953",2007,"01","Government",22095,448,360,353,181,116,"low_turnover","medium_growth"
"954",2007,"01","Information",3029,173,97,91,46,40,"low_turnover","low_growth"
"955",2007,"01","Leisure and hospitality",13338,512,925,902,592,282,"high_turnover","medium_growth"
"956",2007,"01","Manufacturing",14008,342,393,420,227,157,"medium_turnover","low_growth"
"957",2007,"01","Mining and logging",706,16,24,22,11,9,"low_turnover","low_growth"
"958",2007,"01","Other services",5467,184,194,194,119,52,"low_turnover","low_growth"
"959",2007,"01","Professional and business services",17887,957,1046,991,517,415,"high_turnover","high_growth"
"960",2007,"01","Retail trade",15447.6,500,835,794,469,250,"high_turnover","high_growth"
"961",2007,"01","Total private",115382,4302,5066,4960,2778,1820,"high_turnover","high_growth"
"962",2007,"01","Trade, transportation, and utilities",26418,891,1166,1143,637,402,"high_turnover","high_growth"
"963",2007,"02","Construction",7626,231,325,424,146,252,"medium_turnover","low_growth"
"964",2007,"02","Education and health services",18451,721,534,496,324,149,"medium_turnover","high_growth"
"965",2007,"02","Financial activities",8390,280,252,256,138,88,"low_turnover","low_growth"
"966",2007,"02","Government",22131,431,370,339,156,109,"low_turnover","medium_growth"
"967",2007,"02","Information",3033,165,92,93,44,45,"low_turnover","low_growth"
"968",2007,"02","Leisure and hospitality",13361,554,919,907,584,307,"high_turnover","medium_growth"
"969",2007,"02","Manufacturing",13997,340,385,415,216,170,"medium_turnover","low_growth"
"970",2007,"02","Mining and logging",711,12,26,23,13,6,"low_turnover","low_growth"
"971",2007,"02","Other services",5474,250,149,149,110,28,"low_turnover","low_growth"
"972",2007,"02","Professional and business services",17918,861,951,948,513,375,"high_turnover","high_growth"
"973",2007,"02","Retail trade",15479.3,502,827,762,498,212,"high_turnover","high_growth"
"974",2007,"02","Total private",115427,4187,4789,4778,2765,1736,"high_turnover","high_growth"
"975",2007,"02","Trade, transportation, and utilities",26466,774,1157,1069,677,317,"high_turnover","high_growth"
"976",2007,"03","Construction",7706,191,506,396,152,222,"medium_turnover","medium_growth"
"977",2007,"03","Education and health services",18507,765,555,503,304,169,"medium_turnover","high_growth"
"978",2007,"03","Financial activities",8380,346,251,265,160,79,"low_turnover","low_growth"
"979",2007,"03","Government",22149,447,369,331,170,100,"low_turnover","medium_growth"
"980",2007,"03","Information",3029,155,78,86,52,28,"low_turnover","low_growth"
"981",2007,"03","Leisure and hospitality",13363,625,908,898,601,278,"high_turnover","medium_growth"
"982",2007,"03","Manufacturing",13970,363,373,409,216,165,"medium_turnover","low_growth"
"983",2007,"03","Mining and logging",715,17,24,21,13,5,"low_turnover","low_growth"
"984",2007,"03","Other services",5484,168,197,191,118,66,"low_turnover","low_growth"
"985",2007,"03","Professional and business services",17949,1004,1029,986,538,393,"high_turnover","high_growth"
"986",2007,"03","Retail trade",15547.7,474,828,774,471,252,"high_turnover","high_growth"
"987",2007,"03","Total private",115644,4479,5110,4864,2815,1772,"high_turnover","high_growth"
"988",2007,"03","Trade, transportation, and utilities",26541,844,1188,1110,660,367,"high_turnover","high_growth"
"989",2007,"04","Construction",7686,221,408,424,155,259,"medium_turnover","medium_growth"
"990",2007,"04","Education and health services",18563,787,541,482,317,137,"medium_turnover","high_growth"
"991",2007,"04","Financial activities",8361,259,237,269,159,83,"low_turnover","low_growth"
"992",2007,"04","Government",22175,444,378,351,172,113,"low_turnover","medium_growth"
"993",2007,"04","Information",3034,170,92,87,54,26,"low_turnover","low_growth"
"994",2007,"04","Leisure and hospitality",13375,563,964,925,622,275,"high_turnover","medium_growth"
"995",2007,"04","Manufacturing",13945,373,364,390,203,155,"medium_turnover","low_growth"
"996",2007,"04","Mining and logging",719,17,27,21,13,6,"low_turnover","low_growth"
"997",2007,"04","Other services",5491,161,175,162,99,43,"low_turnover","low_growth"
"998",2007,"04","Professional and business services",17966,953,1040,1072,487,503,"high_turnover","high_growth"
"999",2007,"04","Retail trade",15513.2,487,774,776,458,272,"high_turnover","high_growth"
"1000",2007,"04","Total private",115667,4376,4974,4935,2741,1889,"high_turnover","high_growth"
"1001",2007,"04","Trade, transportation, and utilities",26527,873,1126,1104,632,402,"high_turnover","high_growth"
"1002",2007,"05","Construction",7673,191,420,415,161,231,"medium_turnover","medium_growth"
"1003",2007,"05","Education and health services",18608,821,571,516,329,152,"medium_turnover","high_growth"
"1004",2007,"05","Financial activities",8370,281,273,274,172,82,"low_turnover","low_growth"
"1005",2007,"05","Government",22193,443,386,368,179,125,"low_turnover","medium_growth"
"1006",2007,"05","Information",3040,180,91,82,42,32,"low_turnover","low_growth"
"1007",2007,"05","Leisure and hospitality",13404,584,937,881,552,307,"high_turnover","medium_growth"
"1008",2007,"05","Manufacturing",13929,372,384,407,214,162,"medium_turnover","low_growth"
"1009",2007,"05","Mining and logging",721,14,32,29,19,9,"low_turnover","low_growth"
"1010",2007,"05","Other services",5496,165,177,171,114,51,"low_turnover","low_growth"
"1011",2007,"05","Professional and business services",17999,909,1047,1012,551,408,"high_turnover","high_growth"
"1012",2007,"05","Retail trade",15534.5,439,813,816,489,298,"high_turnover","high_growth"
"1013",2007,"05","Total private",115800,4255,5083,4924,2833,1838,"high_turnover","high_growth"
"1014",2007,"05","Trade, transportation, and utilities",26560,738,1151,1135,677,404,"high_turnover","high_growth"
"1015",2007,"06","Construction",7687,189,437,426,144,274,"medium_turnover","medium_growth"
"1016",2007,"06","Education and health services",18661,814,565,514,292,178,"high_turnover","high_growth"
"1017",2007,"06","Financial activities",8368,286,249,233,139,74,"low_turnover","low_growth"
"1018",2007,"06","Government",22207,454,382,350,166,118,"low_turnover","medium_growth"
"1019",2007,"06","Information",3038,178,85,84,48,26,"low_turnover","low_growth"
"1020",2007,"06","Leisure and hospitality",13413,633,968,962,636,299,"high_turnover","medium_growth"
"1021",2007,"06","Manufacturing",13911,358,385,392,200,162,"medium_turnover","low_growth"
"1022",2007,"06","Mining and logging",725,11,30,24,15,8,"low_turnover","low_growth"
"1023",2007,"06","Other services",5499,184,203,194,106,77,"low_turnover","low_growth"
"1024",2007,"06","Professional and business services",18011,959,881,853,494,309,"high_turnover","high_growth"
"1025",2007,"06","Retail trade",15513.9,506,740,759,493,211,"high_turnover","high_growth"
"1026",2007,"06","Total private",115862,4429,4884,4753,2746,1718,"high_turnover","high_growth"
"1027",2007,"06","Trade, transportation, and utilities",26549,818,1082,1071,672,312,"high_turnover","high_growth"
"1028",2007,"07","Construction",7660,208,412,454,224,214,"high_turnover","medium_growth"
"1029",2007,"07","Education and health services",18691,733,538,511,327,128,"medium_turnover","high_growth"
"1030",2007,"07","Financial activities",8370,304,256,257,141,95,"low_turnover","low_growth"
"1031",2007,"07","Government",22171,447,325,375,169,139,"low_turnover","medium_growth"
"1032",2007,"07","Information",3037,160,84,75,32,35,"low_turnover","low_growth"
"1033",2007,"07","Leisure and hospitality",13417,629,916,912,633,237,"high_turnover","medium_growth"
"1034",2007,"07","Manufacturing",13889,385,369,384,177,186,"medium_turnover","medium_growth"
"1035",2007,"07","Mining and logging",728,16,30,26,15,9,"low_turnover","low_growth"
"1036",2007,"07","Other services",5500,150,206,209,118,68,"low_turnover","low_growth"
"1037",2007,"07","Professional and business services",18015,814,1005,986,516,406,"high_turnover","high_growth"
"1038",2007,"07","Retail trade",15515,498,743,738,455,236,"high_turnover","high_growth"
"1039",2007,"07","Total private",115867,4221,4893,4878,2789,1765,"high_turnover","high_growth"
"1040",2007,"07","Trade, transportation, and utilities",26560,822,1076,1065,607,388,"high_turnover","high_growth"
"1041",2007,"08","Construction",7610,178,426,478,177,286,"medium_turnover","medium_growth"
"1042",2007,"08","Education and health services",18755,807,552,506,319,156,"medium_turnover","high_growth"
"1043",2007,"08","Financial activities",8342,313,267,309,173,118,"low_turnover","low_growth"
"1044",2007,"08","Government",22226,467,400,358,169,119,"low_turnover","medium_growth"
"1045",2007,"08","Information",3029,127,88,102,45,43,"low_turnover","low_growth"
"1046",2007,"08","Leisure and hospitality",13419,635,933,920,604,284,"high_turnover","medium_growth"
"1047",2007,"08","Manufacturing",13828,329,372,403,208,169,"medium_turnover","low_growth"
"1048",2007,"08","Mining and logging",727,11,29,30,16,12,"low_turnover","low_growth"
"1049",2007,"08","Other services",5496,162,185,187,112,73,"low_turnover","low_growth"
"1050",2007,"08","Professional and business services",18025,742,1019,1016,568,385,"high_turnover","high_growth"
"1051",2007,"08","Retail trade",15517.1,458,776,782,482,257,"high_turnover","high_growth"
"1052",2007,"08","Total private",115789,4119,4958,5039,2854,1910,"high_turnover","high_growth"
"1053",2007,"08","Trade, transportation, and utilities",26558,813,1085,1088,632,385,"high_turnover","high_growth"
"1054",2007,"09","Construction",7577,144,411,440,160,266,"medium_turnover","medium_growth"
"1055",2007,"09","Education and health services",18812,868,540,468,273,168,"medium_turnover","high_growth"
"1056",2007,"09","Financial activities",8319,261,244,270,147,107,"low_turnover","low_growth"
"1057",2007,"09","Government",22279,452,391,328,161,109,"low_turnover","medium_growth"
"1058",2007,"09","Information",3030,117,80,78,43,27,"low_turnover","low_growth"
"1059",2007,"09","Leisure and hospitality",13461,676,909,843,448,381,"high_turnover","medium_growth"
"1060",2007,"09","Manufacturing",13790,327,370,397,187,183,"medium_turnover","low_growth"
"1061",2007,"09","Mining and logging",726,14,29,30,19,8,"low_turnover","low_growth"
"1062",2007,"09","Other services",5492,174,201,206,119,81,"low_turnover","low_growth"
"1063",2007,"09","Professional and business services",18022,845,1041,1025,500,458,"high_turnover","high_growth"
"1064",2007,"09","Retail trade",15523.3,462,822,822,489,285,"high_turnover","high_growth"
"1065",2007,"09","Total private",115816,4230,4954,4862,2537,2077,"high_turnover","high_growth"
"1066",2007,"09","Trade, transportation, and utilities",26587,804,1129,1107,642,398,"high_turnover","high_growth"
"1067",2007,"10","Construction",7565,161,406,412,167,235,"medium_turnover","medium_growth"
"1068",2007,"10","Education and health services",18849,749,557,509,295,168,"medium_turnover","high_growth"
